City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Christchurch,-43.5333,172.6333,8.84,87,42,2.06,NZ,1662997785
82,Esperance,-33.8667,121.9,17.91,75,60,4.95,AU,1662997785
83,Águilas,37.4063,-1.5829,30.45,53,81,2.67,ES,1662997786
84,Bytosh',53.8186,34.0912,8.88,91,100,4.01,RU,1662997787
85,Castro,-24.7911,-50.0119,16.82,85,100,2.47,BR,1662997701
86,Rieti,42.4072,12.8592,29.34,28,0,3.09,IT,1662997787
87,Port Moresby,-9.4431,147.1797,23.68,94,40,2.57,PG,1662997788
88,Yar-Sale,66.8333,70.8333,6.19,90,100,4.18,RU,1662997788
89,Dryden,49.7833,-92.7503,17.16,67,0,2.57,CA,1662997789
90,Thinadhoo,0.5333,72.9333,28.07,72,6,4.65,MV,1662997789
91,Cape Town,-33.9258,18.4232,16.26,53,0,6.69,ZA,1662997789
92,Pong,19.1493,100.2752,22.29,99,99,0.9,TH,1662997790
93,Leningradskiy,69.3833,178.4167,1.78,85,85,2.93,RU,1662997790
94,Narsaq,60.9167,-46.05,9.12,68,92,2.15,GL,1662997791
95,Bilibino,68.0546,166.4372,5.33,94,100,1.67,RU,1662997791
96,Kayerkan,69.3497,87.7602,1.96,100,97,3.25,RU,1662997792
97,Corn Island,12.1694,-83.0418,28.21,77,61,5.86,NI,1662997792
98,Kolda,12.8833,-14.95,27.24,88,97,2.51,SN,1662997792
99,Tiksi,71.6872,128.8694,0.87,80,44,2.38,RU,1662997793
100,Cabo San Lucas,22.8909,-109.9124,30.28,74,0,0.0,MX,1662997793
101,Road Town,18.4167,-64.6167,30.02,79,40,4.12,VG,1662997794
102,Pemangkat,1.1667,108.9667,26.33,83,100,2.52,ID,1662997580
103,Emba,48.8264,58.1442,16.32,35,100,0.83,KZ,1662997561
104,Prince Rupert,54.3161,-130.3201,11.83,93,20,4.63,CA,1662997795
105,Avarua,-21.2078,-159.775,23.03,83,75,4.12,CK,1662997795
106,Thompson,55.7435,-97.8558,10.09,76,75,4.12,CA,1662997796
107,Zarand,30.8127,56.564,25.75,19,13,4.89,IR,1662997513
108,Vostok,46.4856,135.8833,13.04,95,69,2.16,RU,1662997796
109,Esso,55.9333,158.7,3.77,81,80,1.9,RU,1662997797
110,Tuktoyaktuk,69.4541,-133.0374,3.0,93,100,5.66,CA,1662997797
111,São Filipe,14.8961,-24.4956,26.87,75,70,4.76,CV,1662997601
112,Marabu,4.4148,114.0089,27.08,89,40,1.54,MY,1662997660
113,Aurangabad,19.8833,75.3333,25.05,88,75,2.06,IN,1662997798
114,Bandarbeyla,9.4942,50.8122,25.4,83,92,13.32,SO,1662997799
115,New Norfolk,-42.7826,147.0587,5.51,83,23,1.4,AU,1662997799
116,Tuatapere,-46.1333,167.6833,5.55,90,99,2.54,NZ,1662997799
117,Mar del Plata,-38.0023,-57.5575,16.64,73,0,5.36,AR,1662997800
118,Te Anau,-45.4167,167.7167,4.31,92,88,1.75,NZ,1662997800
119,Lima,-12.0432,-77.0282,18.83,73,100,2.57,PE,1662997606
120,Amga,60.8953,131.9608,7.38,66,100,2.14,RU,1662997801
121,Kimitsu,35.3253,139.8911,24.69,89,98,4.5,JP,1662997802
122,Laas,46.6166,10.7002,20.76,41,72,0.7,IT,1662997803
123,Lebyazh'ye,55.2689,66.4947,9.79,58,73,0.82,RU,1662997804
124,Butaritari,3.0707,172.7902,27.41,75,27,4.21,KI,1662997805
125,Nishihara,26.1842,127.7558,28.03,86,40,5.66,JP,1662997806
126,Solnechnyy,50.7214,136.6319,6.17,97,100,4.21,RU,1662997807
127,Ponta do Sol,32.6667,-17.1,27.23,75,97,6.61,PT,1662997807
128,Matara,5.9485,80.5353,24.84,91,66,3.31,LK,1662997707
